method,location,code,level,leb,prediction,abs(deviation),abs(%deviation)
GF,'s-Gravenhage_NLD_2,NLD,2,80.5,80.47548,0.0245206356048633,0.0304604169004513
GF,'s-Hertogenbosch_NLD_2,NLD,2,80.5,80.32784,0.172161340713506,0.213865019519883
GF,Aa en Hunze_NLD_2,NLD,2,82.6,81.911427,0.688573217391963,0.833623749869205
GF,Aalsmeer_NLD_2,NLD,2,83.7,83.197016,0.502984476089474,0.600937247418727
GF,Aalten_NLD_2,NLD,2,81.6,81.36174,0.23825917243957,0.291984279950453
GF,Achtkarspelen_NLD_2,NLD,2,81.4,81.45309,0.0530909061431939,0.0652222434191571
GF,Açores_PRT_1,PRT,1,78.61,78.478885,0.131115303039553,0.166792142271407
GF,Adamaoua_CMR_1,CMR,1,60.74,61.10526,0.365257272720332,0.601345526375258
GF,Adamawa_NGA_1,NGA,1,56.58,56.63146,0.051457805633548,0.0909469876874301
GF,Addis Ababa_ETH_1,ETH,1,72.75,73.081976,0.331976175308224,0.456324639598933
GF,Afar_ETH_1,ETH,1,60.22,60.41284,0.192842035293583,0.320229218355336
GF,Africa_AFR_9,AFR,9,64.2,64.39692,0.196917819976805,0.306725576287858
GF,Agder_NOR_1,NOR,1,83.12,82.346183,0.773816938400274,0.930963592878096
GF,Ahrweiler_DEU_3,DEU,3,81.51,80.86595,0.644050607681279,0.79014919357291
GF,Aichach-Friedberg_DEU_3,DEU,3,82.7,82.07891,0.621090126037593,0.751015871871334
GF,Alaotra-Mangoro_MDG_1,MDG,1,67.99,68.13876,0.148760328292852,0.21879736474901
GF,Alb-Donau-Kreis_DEU_3,DEU,3,82.34,81.773007,0.56699308395386,0.68859981048562
GF,Albania_ALB_0,ALB,0,79.28,79.513526,0.233525962829595,0.294558479855695
GF,Albrandswaard_NLD_2,NLD,2,83.5,82.836854,0.663145542144772,0.794186278017691
GF,Alexandria_EGY_1,EGY,1,71.94,72.42869,0.48869138717651,0.679304124515582
